rownum,emoji,grp_subgrp,desc,person_animal_other,anthro_type,gender,skin_tone,shape_type,shape_color,direction,sentiment_smileys_binary,cldr short name,codepoint,status,group,subgroup,char_len,version
1588,🧙🏿,People & Body_person-fantasy,anthropomorphic,person,role,person,dark,,,,,mage: dark skin tone,1F9D9 1F3FF,fully-qualified,People & Body,person-fantasy,2,E5.0
1589,🧙‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man mage,1F9D9 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1590,🧙‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man mage,1F9D9 200D 2642,minimally-qualified,People & Body,person-fantasy,3,E5.0
1591,🧙🏻‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man mage: light skin tone,1F9D9 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1592,🧙🏻‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man mage: light skin tone,1F9D9 1F3FB 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1593,🧙🏼‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man mage: medium-light skin tone,1F9D9 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1594,🧙🏼‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man mage: medium-light skin tone,1F9D9 1F3FC 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1595,🧙🏽‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man mage: medium skin tone,1F9D9 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1596,🧙🏽‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man mage: medium skin tone,1F9D9 1F3FD 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1597,🧙🏾‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man mage: medium-dark skin tone,1F9D9 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1598,🧙🏾‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man mage: medium-dark skin tone,1F9D9 1F3FE 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1599,🧙🏿‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man mage: dark skin tone,1F9D9 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1600,🧙🏿‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man mage: dark skin tone,1F9D9 1F3FF 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1601,🧙‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman mage,1F9D9 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1602,🧙‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman mage,1F9D9 200D 2640,minimally-qualified,People & Body,person-fantasy,3,E5.0
1603,🧙🏻‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,woman mage: light skin tone,1F9D9 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1604,🧙🏻‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,woman mage: light skin tone,1F9D9 1F3FB 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1605,🧙🏼‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,woman mage: medium-light skin tone,1F9D9 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1606,🧙🏼‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,woman mage: medium-light skin tone,1F9D9 1F3FC 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1607,🧙🏽‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,woman mage: medium skin tone,1F9D9 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1608,🧙🏽‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,woman mage: medium skin tone,1F9D9 1F3FD 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1609,🧙🏾‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,woman mage: medium-dark skin tone,1F9D9 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1610,🧙🏾‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,woman mage: medium-dark skin tone,1F9D9 1F3FE 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1611,🧙🏿‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,woman mage: dark skin tone,1F9D9 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1612,🧙🏿‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,woman mage: dark skin tone,1F9D9 1F3FF 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1613,🧚,People & Body_person-fantasy,anthropomorphic,person,role,person,neutral,,,,,fairy,1F9DA,fully-qualified,People & Body,person-fantasy,1,E5.0
1614,🧚🏻,People & Body_person-fantasy,anthropomorphic,person,role,person,light,,,,,fairy: light skin tone,1F9DA 1F3FB,fully-qualified,People & Body,person-fantasy,2,E5.0
1615,🧚🏼,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-light,,,,,fairy: medium-light skin tone,1F9DA 1F3FC,fully-qualified,People & Body,person-fantasy,2,E5.0
1616,🧚🏽,People & Body_person-fantasy,anthropomorphic,person,role,person,medium,,,,,fairy: medium skin tone,1F9DA 1F3FD,fully-qualified,People & Body,person-fantasy,2,E5.0
1617,🧚🏾,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-dark,,,,,fairy: medium-dark skin tone,1F9DA 1F3FE,fully-qualified,People & Body,person-fantasy,2,E5.0
1618,🧚🏿,People & Body_person-fantasy,anthropomorphic,person,role,person,dark,,,,,fairy: dark skin tone,1F9DA 1F3FF,fully-qualified,People & Body,person-fantasy,2,E5.0
1619,🧚‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man fairy,1F9DA 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1620,🧚‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man fairy,1F9DA 200D 2642,minimally-qualified,People & Body,person-fantasy,3,E5.0
1621,🧚🏻‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man fairy: light skin tone,1F9DA 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1622,🧚🏻‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man fairy: light skin tone,1F9DA 1F3FB 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1623,🧚🏼‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man fairy: medium-light skin tone,1F9DA 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1624,🧚🏼‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man fairy: medium-light skin tone,1F9DA 1F3FC 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1625,🧚🏽‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man fairy: medium skin tone,1F9DA 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1626,🧚🏽‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man fairy: medium skin tone,1F9DA 1F3FD 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1627,🧚🏾‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man fairy: medium-dark skin tone,1F9DA 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1628,🧚🏾‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man fairy: medium-dark skin tone,1F9DA 1F3FE 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1629,🧚🏿‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man fairy: dark skin tone,1F9DA 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1630,🧚🏿‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man fairy: dark skin tone,1F9DA 1F3FF 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1631,🧚‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman fairy,1F9DA 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1632,🧚‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman fairy,1F9DA 200D 2640,minimally-qualified,People & Body,person-fantasy,3,E5.0
1633,🧚🏻‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,woman fairy: light skin tone,1F9DA 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1634,🧚🏻‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,woman fairy: light skin tone,1F9DA 1F3FB 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1635,🧚🏼‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,woman fairy: medium-light skin tone,1F9DA 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1636,🧚🏼‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,woman fairy: medium-light skin tone,1F9DA 1F3FC 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1637,🧚🏽‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,woman fairy: medium skin tone,1F9DA 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1638,🧚🏽‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,woman fairy: medium skin tone,1F9DA 1F3FD 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1639,🧚🏾‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,woman fairy: medium-dark skin tone,1F9DA 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1640,🧚🏾‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,woman fairy: medium-dark skin tone,1F9DA 1F3FE 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1641,🧚🏿‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,woman fairy: dark skin tone,1F9DA 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1642,🧚🏿‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,woman fairy: dark skin tone,1F9DA 1F3FF 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1643,🧛,People & Body_person-fantasy,anthropomorphic,person,role,person,neutral,,,,,vampire,1F9DB,fully-qualified,People & Body,person-fantasy,1,E5.0
1644,🧛🏻,People & Body_person-fantasy,anthropomorphic,person,role,person,light,,,,,vampire: light skin tone,1F9DB 1F3FB,fully-qualified,People & Body,person-fantasy,2,E5.0
1645,🧛🏼,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-light,,,,,vampire: medium-light skin tone,1F9DB 1F3FC,fully-qualified,People & Body,person-fantasy,2,E5.0
1646,🧛🏽,People & Body_person-fantasy,anthropomorphic,person,role,person,medium,,,,,vampire: medium skin tone,1F9DB 1F3FD,fully-qualified,People & Body,person-fantasy,2,E5.0
1647,🧛🏾,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-dark,,,,,vampire: medium-dark skin tone,1F9DB 1F3FE,fully-qualified,People & Body,person-fantasy,2,E5.0
1648,🧛🏿,People & Body_person-fantasy,anthropomorphic,person,role,person,dark,,,,,vampire: dark skin tone,1F9DB 1F3FF,fully-qualified,People & Body,person-fantasy,2,E5.0
1649,🧛‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man vampire,1F9DB 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1650,🧛‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man vampire,1F9DB 200D 2642,minimally-qualified,People & Body,person-fantasy,3,E5.0
1651,🧛🏻‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man vampire: light skin tone,1F9DB 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1652,🧛🏻‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man vampire: light skin tone,1F9DB 1F3FB 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1653,🧛🏼‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man vampire: medium-light skin tone,1F9DB 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1654,🧛🏼‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man vampire: medium-light skin tone,1F9DB 1F3FC 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1655,🧛🏽‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man vampire: medium skin tone,1F9DB 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1656,🧛🏽‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man vampire: medium skin tone,1F9DB 1F3FD 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1657,🧛🏾‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man vampire: medium-dark skin tone,1F9DB 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1658,🧛🏾‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man vampire: medium-dark skin tone,1F9DB 1F3FE 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1659,🧛🏿‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man vampire: dark skin tone,1F9DB 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1660,🧛🏿‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man vampire: dark skin tone,1F9DB 1F3FF 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1661,🧛‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman vampire,1F9DB 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1662,🧛‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman vampire,1F9DB 200D 2640,minimally-qualified,People & Body,person-fantasy,3,E5.0
1663,🧛🏻‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,woman vampire: light skin tone,1F9DB 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1664,🧛🏻‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,woman vampire: light skin tone,1F9DB 1F3FB 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1665,🧛🏼‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,woman vampire: medium-light skin tone,1F9DB 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1666,🧛🏼‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,woman vampire: medium-light skin tone,1F9DB 1F3FC 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1667,🧛🏽‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,woman vampire: medium skin tone,1F9DB 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1668,🧛🏽‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,woman vampire: medium skin tone,1F9DB 1F3FD 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1669,🧛🏾‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,woman vampire: medium-dark skin tone,1F9DB 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1670,🧛🏾‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,woman vampire: medium-dark skin tone,1F9DB 1F3FE 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1671,🧛🏿‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,woman vampire: dark skin tone,1F9DB 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1672,🧛🏿‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,woman vampire: dark skin tone,1F9DB 1F3FF 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1673,🧜,People & Body_person-fantasy,anthropomorphic,person,role,person,neutral,,,,,merperson,1F9DC,fully-qualified,People & Body,person-fantasy,1,E5.0
1674,🧜🏻,People & Body_person-fantasy,anthropomorphic,person,role,person,light,,,,,merperson: light skin tone,1F9DC 1F3FB,fully-qualified,People & Body,person-fantasy,2,E5.0
1675,🧜🏼,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-light,,,,,merperson: medium-light skin tone,1F9DC 1F3FC,fully-qualified,People & Body,person-fantasy,2,E5.0
1676,🧜🏽,People & Body_person-fantasy,anthropomorphic,person,role,person,medium,,,,,merperson: medium skin tone,1F9DC 1F3FD,fully-qualified,People & Body,person-fantasy,2,E5.0
1677,🧜🏾,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-dark,,,,,merperson: medium-dark skin tone,1F9DC 1F3FE,fully-qualified,People & Body,person-fantasy,2,E5.0
1678,🧜🏿,People & Body_person-fantasy,anthropomorphic,person,role,person,dark,,,,,merperson: dark skin tone,1F9DC 1F3FF,fully-qualified,People & Body,person-fantasy,2,E5.0
1679,🧜‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,merman,1F9DC 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1680,🧜‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,merman,1F9DC 200D 2642,minimally-qualified,People & Body,person-fantasy,3,E5.0
1681,🧜🏻‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,merman: light skin tone,1F9DC 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1682,🧜🏻‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,merman: light skin tone,1F9DC 1F3FB 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1683,🧜🏼‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,merman: medium-light skin tone,1F9DC 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1684,🧜🏼‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,merman: medium-light skin tone,1F9DC 1F3FC 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1685,🧜🏽‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,merman: medium skin tone,1F9DC 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1686,🧜🏽‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,merman: medium skin tone,1F9DC 1F3FD 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1687,🧜🏾‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,merman: medium-dark skin tone,1F9DC 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1688,🧜🏾‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,merman: medium-dark skin tone,1F9DC 1F3FE 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1689,🧜🏿‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,merman: dark skin tone,1F9DC 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1690,🧜🏿‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,merman: dark skin tone,1F9DC 1F3FF 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1691,🧜‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,mermaid,1F9DC 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1692,🧜‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,mermaid,1F9DC 200D 2640,minimally-qualified,People & Body,person-fantasy,3,E5.0
1693,🧜🏻‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,mermaid: light skin tone,1F9DC 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1694,🧜🏻‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,mermaid: light skin tone,1F9DC 1F3FB 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1695,🧜🏼‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,mermaid: medium-light skin tone,1F9DC 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1696,🧜🏼‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-light,,,,,mermaid: medium-light skin tone,1F9DC 1F3FC 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1697,🧜🏽‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,mermaid: medium skin tone,1F9DC 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1698,🧜🏽‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium,,,,,mermaid: medium skin tone,1F9DC 1F3FD 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1699,🧜🏾‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,mermaid: medium-dark skin tone,1F9DC 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1700,🧜🏾‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,medium-dark,,,,,mermaid: medium-dark skin tone,1F9DC 1F3FE 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1701,🧜🏿‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,mermaid: dark skin tone,1F9DC 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1702,🧜🏿‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,dark,,,,,mermaid: dark skin tone,1F9DC 1F3FF 200D 2640,minimally-qualified,People & Body,person-fantasy,4,E5.0
1703,🧝,People & Body_person-fantasy,anthropomorphic,person,role,person,neutral,,,,,elf,1F9DD,fully-qualified,People & Body,person-fantasy,1,E5.0
1704,🧝🏻,People & Body_person-fantasy,anthropomorphic,person,role,person,light,,,,,elf: light skin tone,1F9DD 1F3FB,fully-qualified,People & Body,person-fantasy,2,E5.0
1705,🧝🏼,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-light,,,,,elf: medium-light skin tone,1F9DD 1F3FC,fully-qualified,People & Body,person-fantasy,2,E5.0
1706,🧝🏽,People & Body_person-fantasy,anthropomorphic,person,role,person,medium,,,,,elf: medium skin tone,1F9DD 1F3FD,fully-qualified,People & Body,person-fantasy,2,E5.0
1707,🧝🏾,People & Body_person-fantasy,anthropomorphic,person,role,person,medium-dark,,,,,elf: medium-dark skin tone,1F9DD 1F3FE,fully-qualified,People & Body,person-fantasy,2,E5.0
1708,🧝🏿,People & Body_person-fantasy,anthropomorphic,person,role,person,dark,,,,,elf: dark skin tone,1F9DD 1F3FF,fully-qualified,People & Body,person-fantasy,2,E5.0
1709,🧝‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man elf,1F9DD 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1710,🧝‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,neutral,,,,,man elf,1F9DD 200D 2642,minimally-qualified,People & Body,person-fantasy,3,E5.0
1711,🧝🏻‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man elf: light skin tone,1F9DD 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1712,🧝🏻‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,light,,,,,man elf: light skin tone,1F9DD 1F3FB 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1713,🧝🏼‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man elf: medium-light skin tone,1F9DD 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1714,🧝🏼‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-light,,,,,man elf: medium-light skin tone,1F9DD 1F3FC 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1715,🧝🏽‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man elf: medium skin tone,1F9DD 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1716,🧝🏽‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium,,,,,man elf: medium skin tone,1F9DD 1F3FD 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1717,🧝🏾‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man elf: medium-dark skin tone,1F9DD 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1718,🧝🏾‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,medium-dark,,,,,man elf: medium-dark skin tone,1F9DD 1F3FE 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1719,🧝🏿‍♂️,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man elf: dark skin tone,1F9DD 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
1720,🧝🏿‍♂,People & Body_person-fantasy,anthropomorphic,person,role,male,dark,,,,,man elf: dark skin tone,1F9DD 1F3FF 200D 2642,minimally-qualified,People & Body,person-fantasy,4,E5.0
1721,🧝‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman elf,1F9DD 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,4,E5.0
1722,🧝‍♀,People & Body_person-fantasy,anthropomorphic,person,role,female,neutral,,,,,woman elf,1F9DD 200D 2640,minimally-qualified,People & Body,person-fantasy,3,E5.0
1723,🧝🏻‍♀️,People & Body_person-fantasy,anthropomorphic,person,role,female,light,,,,,woman elf: light skin tone,1F9DD 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-fantasy,5,E5.0
